scheme,nx,ny,omp,shock_x,thickness_cells,thickness_m,TV_rho,smooth_lap_p,dt,wall_step_s,wall_total_s
FirstOrder,256,256,12,0.003466796875,65,0.00126953125,197.8043378184493,10841397859.41706,2.3764115611587476e-10,0.011964124,96.819826113
TENO5,256,256,12,0.003466796875,73,0.00142578125,312.7876426631722,87593290783.07985,8.403651707735418e-10,0.168915112,938.827192317
WENO3,256,256,12,0.003466796875,67,0.00130859375,269.6313633430707,44079407730.24424,5.447231496859257e-10,0.024635034,408.013153595
WENO5,256,256,12,0.003466796875,69,0.00134765625,283.3104861643797,67058481722.39774,9.505923337707872e-10,0.05979061,485.674801183
FirstOrder,512,512,12,0.0034521484375,133,0.001298828125,464.3546554226412,18359520105.98251,1.126992870899323e-09,0.043805401,631.841227015
TENO5,512,512,12,0.0034619140625,144,0.00140625,709.4294893473397,217716682643.3286,3.734682320869512e-10,0.272531047,5873.288751231
WENO3,512,512,12,0.0034619140625,139,0.001357421875,591.2351418519088,75550559320.52022,3.9159472273830426e-10,0.100072812,2660.178270509
WENO5,512,512,12,0.0034716796875,140,0.0013671875,653.0327302103169,143899263677.8424,6.785862637015622e-11,0.154125029,3236.389581511
