x,rho,u,p
0.935,1.01098,4.69726,101771
0.94,1.01099,4.69726,101771
0.945,1.011,4.69726,101771
0.95,1.01101,4.69726,101771
0.955,1.01102,4.69726,101771
0.96,1.01103,4.69726,101771
0.965,1.01103,4.69726,101771
0.97,1.01104,4.69726,101771
0.975,1.01104,4.69726,101771
0.98,1.01105,4.69726,101771
0.985,1.01105,4.69726,101771
0.99,1.01105,4.69726,101771
0.995,1.01105,4.69726,101771
